game_id,seed,bot1,bot2,score1,score2,winner,rounds,total_turns
0,42,GreedyBot,RandomBot,73,4,0,5,50
1,43,GreedyBot,RandomBot,59,23,0,5,46
2,44,GreedyBot,RandomBot,37,3,0,5,49
3,45,GreedyBot,RandomBot,62,5,0,5,47
4,46,GreedyBot,RandomBot,46,10,0,5,49
5,47,GreedyBot,RandomBot,51,15,0,5,49
6,48,GreedyBot,RandomBot,86,10,0,5,50
7,49,GreedyBot,RandomBot,39,7,0,5,50
8,50,GreedyBot,RandomBot,60,5,0,5,51
9,51,GreedyBot,RandomBot,81,20,0,5,48
10,52,GreedyBot,RandomBot,53,13,0,5,52
11,53,GreedyBot,RandomBot,68,19,0,5,50
12,54,GreedyBot,RandomBot,46,3,0,5,49
13,55,GreedyBot,RandomBot,26,0,0,5,48
14,56,GreedyBot,RandomBot,40,6,0,5,52
15,57,GreedyBot,RandomBot,66,32,0,5,50
16,58,GreedyBot,RandomBot,46,8,0,5,51
17,59,GreedyBot,RandomBot,45,18,0,5,49
18,60,GreedyBot,RandomBot,93,18,0,5,51
19,61,GreedyBot,RandomBot,66,9,0,5,52
20,62,GreedyBot,RandomBot,56,25,0,5,53
21,63,GreedyBot,RandomBot,47,25,0,5,50
22,64,GreedyBot,RandomBot,61,13,0,5,50
23,65,GreedyBot,RandomBot,42,0,0,5,52
24,66,GreedyBot,RandomBot,54,14,0,5,49
25,67,GreedyBot,RandomBot,35,9,0,5,48
26,68,GreedyBot,RandomBot,57,29,0,5,55
27,69,GreedyBot,RandomBot,59,20,0,5,53
28,70,GreedyBot,RandomBot,50,5,0,5,48
29,71,GreedyBot,RandomBot,59,19,0,5,50
30,72,GreedyBot,RandomBot,48,2,0,5,50
31,73,GreedyBot,RandomBot,54,17,0,5,53
32,74,GreedyBot,RandomBot,54,19,0,5,48
33,75,GreedyBot,RandomBot,63,10,0,5,51
34,76,GreedyBot,RandomBot,34,11,0,5,51
35,77,GreedyBot,RandomBot,39,14,0,5,51
36,78,GreedyBot,RandomBot,57,15,0,5,52
37,79,GreedyBot,RandomBot,69,17,0,5,52
38,80,GreedyBot,RandomBot,48,8,0,5,53
39,81,GreedyBot,RandomBot,80,13,0,5,52
40,82,GreedyBot,RandomBot,83,27,0,5,50
41,83,GreedyBot,RandomBot,75,10,0,5,49
42,84,GreedyBot,RandomBot,61,13,0,5,49
43,85,GreedyBot,RandomBot,60,0,0,5,49
44,86,GreedyBot,RandomBot,39,0,0,5,50
45,87,GreedyBot,RandomBot,51,4,0,5,48
46,88,GreedyBot,RandomBot,71,1,0,5,49
47,89,GreedyBot,RandomBot,40,20,0,5,48
48,90,GreedyBot,RandomBot,69,21,0,5,50
49,91,GreedyBot,RandomBot,42,29,0,5,50
50,92,GreedyBot,RandomBot,67,13,0,5,52
51,93,GreedyBot,RandomBot,68,0,0,5,55
52,94,GreedyBot,RandomBot,46,6,0,5,50
53,95,GreedyBot,RandomBot,43,15,0,5,52
54,96,GreedyBot,RandomBot,61,15,0,5,51
55,97,GreedyBot,RandomBot,28,18,0,5,48
56,98,GreedyBot,RandomBot,43,10,0,5,51
57,99,GreedyBot,RandomBot,55,0,0,5,49
58,100,GreedyBot,RandomBot,58,10,0,5,47
59,101,GreedyBot,RandomBot,50,7,0,5,50
60,102,GreedyBot,RandomBot,62,22,0,5,50
61,103,GreedyBot,RandomBot,52,33,0,5,48
62,104,GreedyBot,RandomBot,64,1,0,5,53
63,105,GreedyBot,RandomBot,50,18,0,5,55
64,106,GreedyBot,RandomBot,70,5,0,5,55
65,107,GreedyBot,RandomBot,39,14,0,5,49
66,108,GreedyBot,RandomBot,50,1,0,5,49
67,109,GreedyBot,RandomBot,57,11,0,5,49
68,110,GreedyBot,RandomBot,55,12,0,5,48
69,111,GreedyBot,RandomBot,51,1,0,5,48
70,112,GreedyBot,RandomBot,55,20,0,5,50
71,113,GreedyBot,RandomBot,40,9,0,5,51
72,114,GreedyBot,RandomBot,44,8,0,5,49
73,115,GreedyBot,RandomBot,53,21,0,5,51
74,116,GreedyBot,RandomBot,61,12,0,5,52
75,117,GreedyBot,RandomBot,72,0,0,5,51
76,118,GreedyBot,RandomBot,45,11,0,5,48
77,119,GreedyBot,RandomBot,61,13,0,5,51
78,120,GreedyBot,RandomBot,57,0,0,5,48
79,121,GreedyBot,RandomBot,67,14,0,5,50
80,122,GreedyBot,RandomBot,71,15,0,5,52
81,123,GreedyBot,RandomBot,74,11,0,5,49
82,124,GreedyBot,RandomBot,82,12,0,5,48
83,125,GreedyBot,RandomBot,60,35,0,5,49
84,126,GreedyBot,RandomBot,72,14,0,5,49
85,127,GreedyBot,RandomBot,56,14,0,5,51
86,128,GreedyBot,RandomBot,47,1,0,5,49
87,129,GreedyBot,RandomBot,49,13,0,5,50
88,130,GreedyBot,RandomBot,46,14,0,5,50
89,131,GreedyBot,RandomBot,54,8,0,5,49
90,132,GreedyBot,RandomBot,27,28,1,5,50
91,133,GreedyBot,RandomBot,82,9,0,5,49
92,134,GreedyBot,RandomBot,92,21,0,5,49
93,135,GreedyBot,RandomBot,64,13,0,5,51
94,136,GreedyBot,RandomBot,57,16,0,5,48
95,137,GreedyBot,RandomBot,61,23,0,5,49
96,138,GreedyBot,RandomBot,44,16,0,5,48
97,139,GreedyBot,RandomBot,56,54,0,5,50
98,140,GreedyBot,RandomBot,49,21,0,5,49
99,141,GreedyBot,RandomBot,55,21,0,5,50
